指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:57.928,192.168.31.159,46.232.56.131,4884,443,TCP,1362
2025-10-08 23:08:58.004,46.232.56.131,192.168.31.159,443,4884,TCP,1022
2025-10-08 23:08:58.007,192.168.31.159,46.232.56.131,4884,443,TCP,1417
2025-10-08 23:08:58.007,192.168.31.159,46.232.56.131,4884,443,TCP,1490
2025-10-08 23:08:58.009,192.168.31.159,46.232.56.131,4884,443,TCP,1490
2025-10-08 23:08:58.009,192.168.31.159,46.232.56.131,4884,443,TCP,1490
2025-10-08 23:08:58.010,192.168.31.159,46.232.56.131,4884,443,TCP,1490
2025-10-08 23:08:58.010,192.168.31.159,46.232.56.131,4884,443,TCP,262
2025-10-08 23:08:58.011,192.168.31.159,46.232.56.131,4884,443,TCP,1490
2025-10-08 23:08:58.011,192.168.31.159,46.232.56.131,4884,443,TCP,1490
2025-10-08 23:08:58.011,192.168.31.159,46.232.56.131,4884,443,TCP,1311
2025-10-08 23:08:58.022,192.168.31.159,158.178.236.104,52867,38234,UDP,67
2025-10-08 23:08:58.022,46.232.56.131,192.168.31.159,443,4891,TCP,60
2025-10-08 23:08:58.080,46.232.56.131,192.168.31.159,443,4884,TCP,60
2025-10-08 23:08:58.084,46.232.56.131,192.168.31.159,443,4884,TCP,60
2025-10-08 23:08:58.135,192.168.31.159,123.180.156.65,2996,443,TCP,119
